PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES,NAME SOURCE,ACCESSION,SEQUENCE TYPE,SEQUENCE SOURCE,BRAZILIAN MAMMAL,AMAZ,MATL,CERR,CAAT,PANT,PAMP,MARI
Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,da Rosa,AB042432.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,da Rosa,AB042523.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,da Rosa,AB042524.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,AB055387.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,NA,AB074962.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,NA,AB074963.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,NA,AB074964.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera omurai,SBMZ,AB201256.1,mitogenome,GB,native,0,0,0,0,0,0,1
Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera omurai,SBMZ,AB201257.1,mitogenome,GB,native,0,0,0,0,0,0,1
Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera edeni,SBMZ,AB201258.1,mitogenome,GB,native,0,0,0,0,0,0,1
Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,da Rosa,AB292606.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,da Rosa,AB298688.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Primates,Cebidae,Saimiri,Saimiri sciureus,SBMZ,AB371091.1,mitogenome,GB,native,1,1,0,0,0,0,0
Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,da Rosa,AB499816.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,da Rosa,AB499817.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,da Rosa,AB499818.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Primates,Cebidae,Callithrix,Callithrix jacchus,SBMZ,AB572419.1,mitogenome,GB,native,0,1,1,0,0,0,0
Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,AB626609.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,NA,AB626610.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,da Rosa,AB735749.1,mitogenome,GB,exotic,0,1,0,0,0,0,0
Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,da Rosa,AB735750.1,mitogenome,GB,exotic,0,1,0,0,0,0,0
Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,da Rosa,AB735751.1,mitogenome,GB,exotic,0,1,0,0,0,0,0
Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus caballus,da Rosa,AB859014.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,da Rosa,AC_000022.2,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,da Rosa,AF034253.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,Bubalus bubalis,da Rosa,AF547270.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,SBMZ,AH014071.2,mitogenome,GB,native,1,1,1,1,1,1,1
Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus,da Rosa,AJ001588.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Rodentia,Caviidae,Cavia,Cavia porcellus,da Rosa,AJ222767.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Artiodactyla,Physeteridae,Physeter,Physeter catodon,IUCN,AJ277029.2,mitogenome,GB,native,0,0,0,0,0,0,0
Chordata,Mammalia,Primates,Cebidae,Cebus,Cebus albifrons,SBMZ,AJ309866.1,mitogenome,GB,native,1,0,0,0,0,0,0
Chordata,Mammalia,Pilosa,Myrmecophagidae,Tamandua,Tamandua tetradactyla,SBMZ,AJ421450.1,mitogenome,GB,native,1,1,1,1,1,1,1
Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus europaeus,da Rosa,AJ421471.1,mitogenome,GB,exotic,0,1,1,0,0,0,0
Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,da Rosa,AJ428514.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus,Tapirus terrestris,SBMZ,AJ428947.1,mitogenome,GB,native,1,1,1,1,1,0,0
Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,Monodelphis domestica,SBMZ,AJ508398.1,mitogenome,GB,native,0,1,1,1,1,0,0
Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera acutorostrata,SBMZ,AJ554054.1,mitogenome,GB,native,0,0,0,0,0,0,0
Chordata,Mammalia,Artiodactyla,Physeteridae,Kogia,Kogia breviceps,SBMZ,AJ554055.1,mitogenome,GB,native,0,0,0,0,0,0,0
Chordata,Mammalia,Artiodactyla,Iniidae,Inia,Inia geoffrensis,SBMZ,AJ554059.1,mitogenome,GB,native,1,0,0,0,0,0,1
Chordata,Mammalia,Artiodactyla,Pontoporiidae,Pontoporia,Pontoporia blainvillei,SBMZ,AJ554060.1,mitogenome,GB,native,0,0,0,0,0,0,0
Chordata,Mammalia,Didelphimorphia,Didelphidae,Metachirus,Metachirus nudicaudatus,SBMZ,AJ639866.1,mitogenome,GB,native,1,1,1,0,1,0,0
Chordata,Mammalia,Carnivora,Phocidae,Mirounga,Mirounga leonina,SBMZ,AM181023.1,mitogenome,GB,native,0,0,0,0,0,0,1
Chordata,Mammalia,Carnivora,Phocidae,Lobodon,Lobodon carcinophaga,SBMZ,AM181024.1,mitogenome,GB,native,0,0,0,0,0,0,1
Chordata,Mammalia,Carnivora,Phocidae,Leptonychotes,Leptonychotes weddellii,SBMZ,AM181025.1,mitogenome,GB,native,0,0,0,0,0,0,1
Chordata,Mammalia,Carnivora,Phocidae,Hydrurga,Hydrurga leptonyx,SBMZ,AM181026.1,mitogenome,GB,native,0,0,0,0,0,0,1
Chordata,Mammalia,Sirenia,Trichechidae,Trichechus,Trichechus manatus,SBMZ,AM904728.1,mitogenome,GB,native,0,1,0,0,0,0,0
Chordata,Mammalia,Artiodactyla,Tayassuidae,Pecari,Pecari tajacu,Wilson & Reeder,AP003427.1,mitogenome,GB,native,0,0,0,0,0,0,0
Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera bonaerensis,SBMZ,AP006466.1,mitogenome,GB,native,0,0,0,0,0,0,0
Chordata,Mammalia,Artiodactyla,Balaenopteridae,Megaptera,Megaptera novaeangliae,SBMZ,AP006467.1,mitogenome,GB,native,0,0,0,0,0,0,0
Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera acutorostrata,SBMZ,AP006468.1,mitogenome,GB,native,0,0,0,0,0,0,0
Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera borealis,SBMZ,AP006470.1,mitogenome,GB,native,0,0,0,0,0,0,0
Chordata,Mammalia,Artiodactyla,Balaenidae,Eubalaena,Eubalaena australis,SBMZ,AP006473.1,mitogenome,GB,native,0,0,0,0,0,0,0
Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus caballus,da Rosa,AP013078.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus caballus,da Rosa,AP013079.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,da Rosa,AY172581.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Primates,Aotidae,Aotus,Aotus trivirgatus,SBMZ,AY250707.1,mitogenome,GB,native,1,0,0,0,0,0,0
Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,Bubalus bubalis,da Rosa,AY488491.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,SBMZ,AY960979.1,mitogenome,GB,native,1,1,1,0,0,0,0
Chordata,Mammalia,Pilosa,Megalonychidae,Choloepus,Choloepus didactylus,SBMZ,AY960980.1,mitogenome,GB,native,1,0,0,0,0,0,0
Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,Arctocephalus gazella,SBMZ,BK010918.1,mitogenome,GB,native,0,0,0,0,0,0,1
Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus discolor,SBMZ,CM016611.2,mitogenome,GB,native,1,1,1,1,1,0,0
Chordata,Mammalia,Artiodactyla,Delphinidae,Globicephala,Globicephala melas,SBMZ,CM017011.1,mitogenome,GB,native,0,0,0,0,0,0,0
Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera musculus,SBMZ,CM018075.1,mitogenome,GB,native,0,0,0,0,0,0,0
Chordata,Mammalia,Primates,Cebidae,Callithrix,Callithrix jacchus,SBMZ,CM021961.1,mitogenome,GB,native,0,1,1,0,0,0,0
Chordata,Mammalia,Artiodactyla,Delphinidae,Tursiops,Tursiops truncatus,SBMZ,CM022296.1,mitogenome,GB,native,0,0,0,0,0,0,0
Chordata,Mammalia,Chiroptera,Molossidae,Molossus,Molossus molossus,SBMZ,CM024385.1,mitogenome,GB,native,1,1,1,1,1,1,1
Chordata,Mammalia,Pilosa,Megalonychidae,Choloepus,Choloepus didactylus,SBMZ,CM026720.1,mitogenome,GB,native,1,0,0,0,0,0,0
Chordata,Mammalia,Carnivora,Procyonidae,Potos,Potos flavus,SBMZ,CM027365.1,mitogenome,GB,native,1,1,1,0,0,0,0
Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus discolor,SBMZ,CM030315.1,mitogenome,GB,native,1,1,1,1,1,0,0
Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,Bubalus bubalis,da Rosa,CM034296.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Primates,Cebidae,Sapajus,Sapajus apella,SBMZ,CM039160.1,mitogenome,GB,native,1,0,0,0,0,0,0
Chordata,Mammalia,Pilosa,Myrmecophagidae,Tamandua,Tamandua tetradactyla,SBMZ,CM043432.1,mitogenome,GB,native,1,1,1,1,1,1,1
Chordata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,Monodelphis domestica,SBMZ,CM051233.1,mitogenome,GB,native,0,1,1,1,1,0,0
Chordata,Mammalia,Carnivora,Felidae,Puma,Puma concolor,SBMZ,CM053820.1,mitogenome,GB,native,1,1,1,1,1,1,1
Chordata,Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,SBMZ,CM059779.1,mitogenome,GB,native,1,1,1,1,1,1,1
Chordata,Mammalia,Chiroptera,Molossidae,Tadarida,Tadarida brasiliensis,SBMZ,CM061282.1,mitogenome,GB,native,1,1,1,1,1,1,1
Chordata,Mammalia,Rodentia,Caviidae,Cavia,Cavia porcellus,da Rosa,CM067207.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Artiodactyla,Iniidae,Inia,Inia geoffrensis,SBMZ,CM070922.1,mitogenome,GB,native,1,0,0,0,0,0,1
Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera musculus,SBMZ,CM071136.1,mitogenome,GB,native,0,0,0,0,0,0,0
Chordata,Mammalia,Artiodactyla,Cervidae,Rusa,Rusa unicolor,da Rosa,DQ989636.3,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Artiodactyla,Cervidae,Rusa,Rusa unicolor,da Rosa,EF035448.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus rattus,da Rosa,EU273707.1,mitogenome,GB,exotic,1,1,1,0,0,0,0
