ORDER,FAMILY,GENUS,SPECIES,NAME SOURCE,SYNONIM - GENUS,SYNONIM - SPECIES,SYNONIM SOURCE,Brazil,IUCN 2024-1,LOCOMOTION,AMAZ,MATL,CERR,CAAT,PANT,PAMP,MARI
Artiodactyla,Balaenidae,Eubalaena,Eubalaena australis,Abreu et al. 2023,NA,NA,NA,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera acutorostrata,Abreu et al. 2023,NA,NA,NA,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera bonaerensis,Abreu et al. 2023,NA,NA,NA,native,NT,Aq,no,no,no,no,no,no,no
Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera borealis,Abreu et al. 2023,NA,NA,NA,native,EN,Aq,no,no,no,no,no,no,no
Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera edeni,Abreu et al. 2023,NA,NA,NA,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera musculus,Abreu et al. 2023,NA,NA,NA,native,EN,Aq,no,no,no,no,no,no,no
Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera omurai,Abreu et al. 2023,Balaenoptera,Balaenoptera edeni,Wilson & Reeder,native,DD,Aq,no,no,no,no,no,no,yes
Artiodactyla,Balaenopteridae,Balaenoptera,Balaenoptera physalus,Abreu et al. 2023,Balaena,Balaena physalus,Wilson & Reeder,native,VU,Aq,no,no,no,no,no,no,no
Artiodactyla,Balaenopteridae,Megaptera,Megaptera novaeangliae,Abreu et al. 2023,Balaena,Balaena novaeangliae,IUCN,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Cervidae,Blastocerus,Blastocerus dichotomus,Abreu et al. 2023,Cervus,Cervus dichotomus,IUCN,native,VU,Te,yes,yes,yes,no,yes,no,no
Artiodactyla,Cervidae,Mazama,Mazama americana,Abreu et al. 2023,Moschus,Moschus americanus,IUCN,native,DD,Te,yes,yes,yes,no,no,no,no
Artiodactyla,Cervidae,Mazama,Mazama jucunda,Abreu et al. 2023,Mazama,Mazama americana,Wilson & Reeder,native,DD,Te,no,yes,no,yes,yes,no,no
Artiodactyla,Cervidae,Mazama,Mazama nana,Abreu et al. 2023,Mazama,Mazama americana,Wilson & Reeder,native,VU,Te,no,yes,no,yes,yes,yes,yes
Artiodactyla,Cervidae,Mazama,Mazama rufa,Abreu et al. 2023,NA,NA,NA,native,?,Te,yes,yes,yes,yes,yes,no,no
Artiodactyla,Cervidae,Odocoileus,Odocoileus virginianus,Abreu et al. 2023,NA,NA,NA,native,LC,Te,yes,no,no,no,no,no,no
Artiodactyla,Cervidae,Ozotoceros,Ozotoceros bezoarticus,Abreu et al. 2023,Cervus,Cervus bezoarticus,IUCN,native,NT,Te,yes,yes,yes,yes,yes,yes,yes
Artiodactyla,Cervidae,Passalites,Passalites nemorivagus,Abreu et al. 2023,Mazama,Mazama nemorivaga,Wilson & Reeder,native,LC,Te,yes,yes,yes,no,no,no,no
Artiodactyla,Cervidae,Subulo,Subulo gouazoubira,Abreu et al. 2023,Mazama,Mazama gouazoubira,Wilson & Reeder,native,LC,Te,yes,yes,yes,yes,yes,yes,no
Artiodactyla,Delphinidae,Cephalorhynchus,Cephalorhynchus commersonii,Abreu et al. 2023,NA,NA,NA,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Delphinus,Delphinus delphis,Abreu et al. 2023,Delphinus,Delphinus bairdii,IUCN,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Feresa,Feresa attenuata,Abreu et al. 2023,NA,NA,NA,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Globicephala,Globicephala macrorhynchus,Abreu et al. 2023,NA,NA,NA,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Globicephala,Globicephala melas,Abreu et al. 2023,NA,NA,NA,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Grampus,Grampus griseus,Abreu et al. 2023,NA,NA,NA,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Lagenodelphis,Lagenodelphis hosei,Abreu et al. 2023,NA,NA,NA,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Lagenorhynchus,Lagenorhynchus australis,Abreu et al. 2023,NA,NA,NA,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Lissodelphis,Lissodelphis peronii,Abreu et al. 2023,NA,NA,NA,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Orcinus,Orcinus orca,Abreu et al. 2023,Orcinus,Orcinus glacialis,IUCN,native,DD,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Peponocephala,Peponocephala electra,Abreu et al. 2023,NA,NA,NA,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Pseudorca,Pseudorca crassidens,Abreu et al. 2023,NA,NA,NA,native,NT,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Sotalia,Sotalia fluviatilis,Abreu et al. 2023,Steno,Steno tucuxi,IUCN,native,EN,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Sotalia,Sotalia guianensis,Abreu et al. 2023,NA,NA,NA,native,NT,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Stenella,Stenella attenuata,Abreu et al. 2023,Stenella,Stenella graffmani,IUCN,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Stenella,Stenella clymene,Abreu et al. 2023,NA,NA,NA,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Stenella,Stenella coeruleoalba,Abreu et al. 2023,Stenella,Stenella styx,IUCN,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Stenella,Stenella frontalis,Abreu et al. 2023,NA,NA,NA,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Stenella,Stenella longirostris,Abreu et al. 2023,NA,NA,NA,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Steno,Steno bredanensis,Abreu et al. 2023,Steno,Steno rostratus,IUCN,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Tursiops,Tursiops gephyreus,Abreu et al. 2023,NA,NA,NA,native,?,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Tursiops,Tursiops truncatus,Abreu et al. 2023,Tursiops,Tursiops gephyreus,SBMZ,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Delphinidae,Tursiops,Tursiops truncatus,Abreu et al. 2023,Tursiops,Tursiops nuuanu,IUCN,native,LC,Aq,no,no,no,no,no,no,no
Artiodactyla,Iniidae,Inia,Inia araguaiaensis,Abreu et al. 2023,NA,NA,NA,native,?,Aq,no,no,no,no,no,no,no
